"date","geography","geography code","Household composition: Total; measures: Value","Household composition: One person household; measures: Value","Household composition: One person household: Aged 66 years and over; measures: Value","Household composition: One person household: Other; measures: Value","Household composition: Single family household; measures: Value","Household composition: Single family household: All aged 66 years and over; measures: Value","Household composition: Single family household: Married or civil partnership couple; measures: Value","Household composition: Single family household: Married or civil partnership couple: No children; measures: Value","Household composition: Single family household: Married or civil partnership couple: Dependent children; measures: Value","Household composition: Single family household: Married or civil partnership couple: All children non-dependent; measures: Value","Household composition: Single family household: Cohabiting couple family; measures: Value","Household composition: Single family household: Cohabiting couple family: No children; measures: Value","Household composition: Single family household: Cohabiting couple family: With dependent children; measures: Value","Household composition: Single family household: Cohabiting couple family: All children non-dependent; measures: Value","Household composition: Single family household: Lone parent family; measures: Value","Household composition: Single family household: Lone parent family: With dependent children; measures: Value","Household composition: Single family household: Lone parent family: All children non-dependent; measures: Value","Household composition: Single family household: Other single family household; measures: Value","Household composition: Single family household: Other single family household: Other family composition; measures: Value","Household composition: Other household types; measures: Value","Household composition: Other household types: With dependent children; measures: Value","Household composition: Other household types: Other, including all full-time students and all aged 66 years and over; measures: Value"
"2021","Darlington","E06000005",48915,16714,6851,9863,30395,4604,13879,5643,5802,2434,5907,3092,2451,364,5757,3901,1856,248,248,1806,790,1016
"2021","County Durham","E06000047",234761,79529,34150,45379,146599,23721,66560,27844,25415,13301,27230,13657,11701,1872,27992,18904,9088,1096,1096,8633,3168,5465
"2021","Hartlepool","E06000001",40930,13616,5647,7969,25845,3669,11290,4501,4275,2514,5067,2236,2432,399,5628,3886,1742,191,191,1469,687,782
"2021","Middlesbrough","E06000002",60261,19964,7739,12225,36756,4496,15641,5343,7052,3246,6837,3073,3197,567,9166,6236,2930,616,616,3541,1549,1992
"2021","Northumberland","E06000057",146922,48149,22951,25198,94740,18716,45170,19891,16759,8520,15437,8041,6377,1019,14850,9513,5337,567,567,4033,1763,2270
"2021","Redcar and Cleveland","E06000003",61640,20663,9739,10924,39003,6861,16823,6862,6252,3709,7239,3224,3403,612,7803,5170,2633,277,277,1974,965,1009
"2021","Stockton-on-Tees","E06000004",83756,25980,10812,15168,54449,7855,25861,9359,11570,4932,10203,4959,4570,674,10107,6697,3410,423,423,3327,1656,1671
"2021","Gateshead","E08000037",88998,30807,12734,18073,54804,8105,24298,9065,10307,4926,10993,6217,3975,801,10842,6697,4145,566,566,3387,1340,2047
"2021","Newcastle upon Tyne","E08000021",122798,42031,14915,27116,69671,8122,31769,10514,15536,5719,14384,8660,4887,837,14226,9142,5084,1170,1170,11096,2426,8670
"2021","North Tyneside","E08000022",96233,33554,14272,19282,59785,8832,27784,10478,12261,5045,11577,6343,4550,684,11144,7366,3778,448,448,2894,1250,1644
"2021","South Tyneside","E08000023",68285,24550,10484,14066,41694,5980,18102,6876,7191,4035,7594,3648,3331,615,9660,6370,3290,358,358,2041,935,1106
"2021","Sunderland","E08000024",122178,40369,17539,22830,77376,11435,34151,13131,13205,7815,14832,6902,6666,1264,16240,10431,5809,718,718,4433,2158,2275
"2021","Blackburn with Darwen","E06000008",58767,17578,6674,10904,37055,3943,18688,5252,9908,3528,6149,2666,2987,496,7826,5137,2689,449,449,4134,2548,1586
"2021","Blackpool","E06000009",64789,24588,9798,14790,36337,4969,14102,5915,5266,2921,7876,3805,3485,586,8885,5799,3086,505,505,3864,1523,2341
"2021","Cheshire East","E06000049",174857,53137,24817,28320,115112,20739,57228,21429,25816,9983,20642,11492,8079,1071,15655,9708,5947,848,848,6608,2553,4055
"2021","Cheshire West and Chester","E06000050",155156,46889,21284,25605,101371,16807,49139,18200,21615,9324,18970,10308,7489,1173,15643,9590,6053,812,812,6896,2324,4572
"2021","Halton","E06000006",55949,17702,7155,10547,35989,4776,15944,5777,6560,3607,7049,3266,3223,560,7863,5147,2716,357,357,2258,1083,1175
"2021","Warrington","E06000007",90538,27364,11444,15920,59467,8742,29538,10366,13494,5678,11000,5695,4612,693,9677,6154,3523,510,510,3707,1523,2184
"2021","Cumbria","E10000006",228956,77432,35691,41741,143700,27489,68896,29619,26025,13252,25601,13586,10553,1462,20823,12878,7945,891,891,7824,2977,4847
"2021","Bolton","E08000001",118790,36521,15389,21132,75404,10058,36432,11114,18079,7239,13121,5927,6194,1000,14984,9492,5492,809,809,6865,3988,2877
"2021","Bury","E08000002",80697,24880,10646,14234,51769,7288,24861,7946,12192,4723,9493,4803,4001,689,9626,6057,3569,501,501,4048,1997,2051
"2021","Manchester","E08000003",214734,71577,18712,52865,115845,6339,48691,13055,28116,7520,26033,16569,8075,1389,30969,20225,10744,3813,3813,27312,8270,19042
"2021","Oldham","E08000004",93140,27397,11748,15649,59577,7361,28091,8251,14386,5454,10048,4296,4885,867,13381,8716,4665,696,696,6166,3856,2310
"2021","Rochdale","E08000005",90223,27641,11285,16356,57288,6855,26169,8169,12797,5203,10481,4677,4932,872,13052,8761,4291,731,731,5294,3119,2175
"2021","Salford","E08000006",115116,39141,12380,26761,66173,6293,26973,8749,13197,5027,16726,10038,5711,977,14717,9794,4923,1464,1464,9802,2732,7070
"2021","Stockport","E08000007",126648,39439,17805,21634,81576,12336,39505,12472,19338,7695,15111,8102,6071,938,13922,8684,5238,702,702,5633,2526,3107
"2021","Tameside","E08000008",99527,32374,13013,19361,62359,7645,26957,9321,11912,5724,13323,6215,6055,1053,13782,9030,4752,652,652,4794,2496,2298
"2021","Trafford","E08000009",96269,28369,12764,15605,63004,8205,33446,8869,18808,5769,10308,5722,3939,647,10459,6339,4120,586,586,4896,2248,2648
"2021","Wigan","E08000010",143102,43950,18692,25258,93548,13595,42255,15164,18150,8941,19897,9350,9126,1421,17050,10503,6547,751,751,5604,2688,2916
"2021","Lancashire","E10000017",525246,165178,74119,91059,333235,54916,158144,59566,68843,29735,61013,30740,26236,4037,56228,35979,20249,2934,2934,26833,11376,15457
"2021","Knowsley","E08000011",66072,20645,8184,12461,42190,4424,17070,5553,6815,4702,8421,3657,3955,809,11704,7307,4397,571,571,3237,1710,1527
"2021","Liverpool","E08000012",207491,76340,25627,50713,115071,11377,46296,14138,21030,11128,23527,12968,8775,1784,31304,18917,12387,2567,2567,16080,4903,11177
"2021","Sefton","E08000014",123072,41520,19873,21647,75742,12775,34010,11612,13935,8463,12900,6130,5748,1022,15301,8700,6601,756,756,5810,2556,3254
"2021","St. Helens","E08000013",81010,25561,11243,14318,52331,7909,23101,8283,9523,5295,10316,5073,4438,805,10491,6478,4013,514,514,3118,1457,1661
"2021","Wirral","E08000015",143255,49689,22478,27211,87738,13828,38951,13475,16789,8687,14998,7323,6603,1072,19152,12082,7070,809,809,5828,2635,3193
"2021","East Riding of Yorkshire","E06000011",152063,45678,24320,21358,101052,21531,48983,21298,19102,8583,17249,9152,7073,1024,12765,7934,4831,524,524,5333,2292,3041
"2021","Kingston upon Hull, City of","E06000010",115472,39446,13982,25464,69264,7294,27650,10551,11915,5184,17924,8421,8224,1279,15491,10460,5031,905,905,6762,2529,4233
"2021","North East Lincolnshire","E06000012",69826,22718,10030,12688,44064,6979,18959,8112,7128,3719,9080,4129,4326,625,8638,6016,2622,408,408,3044,1342,1702
"2021","North Lincolnshire","E06000013",73173,21366,10309,11057,48217,8263,22583,9650,8756,4177,9530,4569,4296,665,7438,4758,2680,403,403,3590,1602,1988
"2021","York","E06000014",85458,26640,11607,15033,52338,8619,25219,9659,11646,3914,10650,6786,3355,509,7340,4538,2802,510,510,6480,1115,5365
"2021","North Yorkshire","E10000023",274381,84891,42400,42491,179676,35971,90201,38706,36409,15086,29859,17041,11170,1648,22561,14058,8503,1084,1084,9814,3719,6095
"2021","Barnsley","E08000016",108054,33289,14170,19119,70441,10252,31194,12838,12076,6280,15721,7631,6999,1091,12693,8400,4293,581,581,4324,2037,2287
"2021","Doncaster","E08000017",133478,41667,18042,23625,85499,12699,38226,15233,15393,7600,17656,8365,8103,1188,16043,10512,5531,875,875,6312,2896,3416
"2021","Rotherham","E08000018",113925,34225,15175,19050,75069,11604,34018,12960,14150,6908,15449,7078,7151,1220,13408,8613,4795,590,590,4631,2401,2230
"2021","Sheffield","E08000019",231951,75759,29871,45888,140739,19630,64582,22418,30742,11422,29242,16643,10756,1843,25650,16618,9032,1635,1635,15453,4662,10791
"2021","Bradford","E08000032",209865,64596,24902,39694,130426,15224,64874,19782,34178,10914,21288,10575,9253,1460,27395,18865,8530,1645,1645,14843,9231,5612
"2021","Calderdale","E08000033",90475,30308,12289,18019,56148,8020,25747,9765,11404,4578,11203,5805,4645,753,10771,7481,3290,407,407,4019,2033,1986
"2021","Kirklees","E08000034",177992,55177,22474,32703,113432,15946,55340,18867,26692,9781,20825,10555,8871,1399,20306,13445,6861,1015,1015,9383,4931,4452
"2021","Leeds","E08000035",341467,111381,40266,71115,204885,25549,93636,31454,46677,15505,44061,26072,15685,2304,38748,25870,12878,2891,2891,25201,7717,17484
"2021","Wakefield","E08000036",153075,46419,19886,26533,100085,14196,46026,18050,19325,8651,21794,10886,9426,1482,17209,11120,6089,860,860,6571,3051,3520
"2021","Derby","E06000015",105653,33054,13019,20035,64890,8427,30480,9917,14882,5681,12472,6544,5148,780,12460,7850,4610,1051,1051,7709,3435,4274
"2021","Leicester","E06000016",127388,35173,11871,23302,75604,6093,39969,9143,22376,8450,11372,5707,4753,912,16447,9828,6619,1723,1723,16611,8446,8165
"2021","Nottingham","E06000018",124745,41971,13512,28459,68295,6104,28615,9457,14308,4850,14906,8448,5502,956,17045,11449,5596,1625,1625,14479,3997,10482
"2021","Rutland","E06000017",16696,4786,2589,2197,11320,2654,5854,2350,2585,919,1600,950,560,90,1169,712,457,43,43,590,223,367
"2021","Derbyshire","E10000007",354213,109710,50053,59657,232200,39910,109805,44740,44455,20610,46961,25117,18931,2913,34165,21291,12874,1359,1359,12303,5128,7175
"2021","Leicestershire","E10000018",296408,81648,39061,42587,199617,34259,99940,36209,44785,18946,36663,19432,14941,2290,27433,16802,10631,1322,1322,15143,5908,9235
"2021","Lincolnshire","E10000019",333552,97972,48155,49817,217613,41938,101853,44450,40116,17287,41065,22123,16614,2328,31028,20191,10837,1729,1729,17967,6737,11230
"2021","Nottinghamshire","E10000024",357119,105674,49179,56495,235445,39712,111647,43503,47700,20444,46673,24567,19129,2977,35657,22533,13124,1756,1756,16000,6283,9717
"2021","North Northamptonshire","E06000061",148922,40715,17680,23035,99038,14343,47182,17220,21671,8291,20219,10068,8901,1250,16303,10468,5835,991,991,9169,4114,5055
"2021","West Northamptonshire","E06000062",172643,46474,19511,26963,113940,15948,57154,19721,27652,9781,21857,11652,8876,1329,17572,11313,6259,1409,1409,12229,5272,6957
"2021","Herefordshire, County of","E06000019",82824,25434,12919,12515,53433,11052,25781,10769,10250,4762,8902,4850,3478,574,7318,4361,2957,380,380,3957,1531,2426
"2021","Shropshire","E06000051",139576,41428,21475,19953,91505,18946,44065,18297,17242,8526,16266,8844,6302,1120,11675,6880,4795,553,553,6643,2845,3798
"2021","Stoke-on-Trent","E06000021",110400,36179,14225,21954,68454,8647,29954,11087,13363,5504,14757,7144,6717,896,14209,9522,4687,887,887,5767,2475,3292
