"date","geography","geography code","Country of birth: Total; measures: Value","Country of birth: Europe; measures: Value","Country of birth: Europe: United Kingdom; measures: Value","Country of birth: Europe: EU countries; measures: Value","Country of birth: Europe: EU countries: European Union EU14; measures: Value","Country of birth: Europe: EU countries: European Union EU8; measures: Value","Country of birth: Europe: EU countries: European Union EU2; measures: Value","Country of birth: Europe: EU countries: All other EU countries; measures: Value","Country of birth: Europe: Non-EU countries; measures: Value","Country of birth: Europe: Non-EU countries: All other non-EU countries; measures: Value","Country of birth: Africa; measures: Value","Country of birth: Middle East and Asia; measures: Value","Country of birth: The Americas and the Caribbean; measures: Value","Country of birth: Antarctica and Oceania (including Australasia) and Other; measures: Value","Country of birth: British Overseas ; measures: Value"
"2021","Darlington","E06000005",107799,104041,99373,4425,1495,1969,815,146,243,243,791,2403,418,139,7
"2021","County Durham","E06000047",522067,509647,499175,9492,5283,2988,842,379,980,980,2606,7324,1787,624,79
"2021","Hartlepool","E06000001",92334,90173,88673,1358,574,663,62,59,142,142,489,1392,198,77,5
"2021","Middlesbrough","E06000002",143928,131177,126242,4505,1495,1746,1184,80,430,430,3388,8960,309,82,12
"2021","Northumberland","E06000057",320567,314487,309315,4609,2937,1035,373,264,563,563,1494,2949,1118,485,34
"2021","Redcar and Cleveland","E06000003",136529,134386,132550,1651,1054,358,135,104,185,185,526,1198,272,146,1
"2021","Stockton-on-Tees","E06000004",196595,188227,184328,3511,1888,890,570,163,388,388,2249,5310,608,190,11
"2021","Gateshead","E08000037",196151,187935,181578,5608,2348,2242,883,135,749,749,2068,5224,730,181,13
"2021","Newcastle upon Tyne","E08000021",300127,265064,247792,15517,7118,5306,2573,520,1755,1755,7938,24498,2106,454,67
"2021","North Tyneside","E08000022",208967,202339,197429,4279,2411,996,693,179,631,631,1458,4055,773,332,10
"2021","South Tyneside","E08000023",147777,143605,141225,2086,1194,610,207,75,294,294,821,2901,342,97,11
"2021","Sunderland","E08000024",274172,265350,260190,4685,2280,1555,643,207,475,475,2644,5479,510,167,22
"2021","Blackburn with Darwen","E06000008",154738,133407,126745,6291,2372,2939,907,73,371,371,2708,18108,378,107,30
"2021","Blackpool","E06000009",141037,136380,129903,6126,1994,2828,1134,170,351,351,906,3143,422,175,11
"2021","Cheshire East","E06000049",398772,383985,365637,16976,5993,7439,3208,336,1372,1372,3424,8288,2173,843,59
"2021","Cheshire West and Chester","E06000050",357149,345044,330940,12720,6078,4450,1865,327,1384,1384,3194,6265,1953,622,71
"2021","Halton","E06000006",128478,126124,122350,3422,1228,1210,916,68,352,352,574,1300,344,132,4
"2021","Warrington","E06000007",210975,202887,191226,10768,2803,5526,2267,172,893,893,1770,5023,805,342,148
"2021","Cumbria","E10000006",499846,489354,475725,12633,5013,4987,2263,370,996,996,2838,4964,1804,827,59
"2021","Bolton","E08000001",295959,258279,245907,11318,5711,4436,1017,154,1054,1054,9616,26654,1129,222,59
"2021","Bury","E08000002",193852,178750,170444,7499,3993,2890,489,127,807,807,2818,10966,1048,236,34
"2021","Manchester","E08000003",551937,428451,378730,45259,27900,12576,4089,694,4462,4462,37872,75297,8821,977,519
"2021","Oldham","E08000004",242088,212093,201825,9810,5293,2452,1949,116,458,458,4761,24191,849,154,40
"2021","Rochdale","E08000005",223773,199617,189122,9883,4728,4075,948,132,612,612,5419,17822,707,174,34
"2021","Salford","E08000006",269920,240629,218617,19856,8833,8235,2511,277,2156,2156,11437,14411,2834,416,193
"2021","Stockport","E08000007",294774,276325,266918,8338,5288,2064,709,277,1069,1069,3296,13067,1572,485,29
"2021","Tameside","E08000008",231070,215275,207201,7518,3825,2986,582,125,556,556,4203,10670,686,183,53
"2021","Trafford","E08000009",235052,210803,200116,9655,6201,2475,653,326,1032,1032,4315,16758,2596,513,67
"2021","Wigan","E08000010",329328,319893,308857,10077,3273,4468,2139,197,959,959,3339,4819,911,331,35
"2021","Lancashire","E10000017",1235354,1172850,1123432,46480,17587,20119,7699,1075,2938,2938,9721,46471,4504,1570,238
"2021","Knowsley","E08000011",154519,150646,146552,3672,1211,1709,665,87,422,422,1010,2014,782,59,8
"2021","Liverpool","E08000012",486089,442188,413636,25502,10795,9849,4386,472,3050,3050,11146,26359,5672,619,105
"2021","Sefton","E08000014",279233,272026,261264,9861,3890,4185,1594,192,901,901,1743,3582,1475,386,21
"2021","St. Helens","E08000013",183247,179396,174056,4881,1724,2178,889,90,459,459,973,2160,537,164,17
"2021","Wirral","E08000015",320200,310779,302789,7167,4160,1904,839,264,823,823,1880,5656,1343,498,44
"2021","East Riding of Yorkshire","E06000011",342215,335171,325230,9232,3905,3943,1025,359,709,709,1726,3499,1241,547,31
"2021","Kingston upon Hull, City of","E06000010",267013,254661,232051,21264,3229,13709,4113,213,1346,1346,3894,7498,690,224,46
"2021","North East Lincolnshire","E06000012",156964,153271,146658,6253,1451,2905,1725,172,360,360,1011,2233,305,133,11
"2021","North Lincolnshire","E06000013",169681,164223,153709,10189,2319,5885,1832,153,325,325,1025,3802,452,157,22
"2021","York","E06000014",202822,191191,180964,8998,5030,2754,908,306,1229,1229,1936,6938,2129,594,34
"2021","North Yorkshire","E10000023",615491,597083,574950,20564,9410,7829,2462,863,1569,1569,4250,8395,3921,1769,73
"2021","Barnsley","E08000016",244571,240148,228841,10589,1894,4717,3822,156,718,718,1569,2149,510,182,13
"2021","Doncaster","E08000017",308103,297915,275987,20407,3207,10229,6647,324,1521,1521,2967,6052,904,251,14
"2021","Rotherham","E08000018",265805,255956,247612,7677,2005,4547,957,168,667,667,2336,6789,554,156,14
"2021","Sheffield","E08000019",556523,499065,473313,22905,8905,10197,3160,643,2847,2847,16483,35669,4420,678,208
"2021","Bradford","E08000032",546411,470329,444477,24347,6900,15444,1729,274,1505,1505,8594,64195,2575,557,161
"2021","Calderdale","E08000033",206629,195582,189037,6067,2605,2945,349,168,478,478,1286,8758,690,292,21
"2021","Kirklees","E08000034",433216,392497,378708,12676,5214,5635,1530,297,1113,1113,5585,31852,2743,477,62
"2021","Leeds","E08000035",811953,729705,683681,42283,18554,16855,6054,820,3741,3741,27227,46132,6962,1370,557
"2021","Wakefield","E08000036",353370,341078,323296,16957,3524,11816,1410,207,825,825,3694,7363,872,337,26
"2021","Derby","E06000015",261364,231311,210170,19668,5383,11633,2336,316,1473,1473,5941,21633,2196,223,60
"2021","Leicester","E06000016",368570,251917,217078,31880,11936,13164,6235,545,2959,2959,33542,79372,2825,447,467
"2021","Nottingham","E06000018",323632,273133,244133,26759,10059,11975,4148,577,2241,2241,14762,29073,5880,422,362
"2021","Rutland","E06000017",41049,39176,37658,1352,850,328,62,112,166,166,623,610,395,224,21
